13 7 output/rmfs//7.rmf3 1781 9618  |  605.615668103 17.094581116 4.71589  |  33.4171617299 29.0269204231 151.916971424 14 12 52 0.478578627832 0.484779672351 0.477824315155  |  45.1986159151 20.5521190025 18.9674188312 85 50 34 0.0140436303128 0.0211339023688 0.0177522053698
13 7 output/rmfs//7.rmf3 1782 9619  |  616.032045108 17.7000294226 7.24899  |  34.1694952752 29.6189720684 153.323982919 14 12 50 0.459908473614 0.484779672351 0.480092266603  |  45.6526296108 20.377161102 19.5692200433 85 50 34 0.0249117065139 0.0166504782994 0.0133318654613
13 7 output/rmfs//7.rmf3 1783 9620  |  620.64349915 23.765332805 1.91782  |  34.7294505641 30.6490481508 152.186829293 14 13 50 0.440692601334 0.471217411369 0.480781207192  |  45.8028396368 21.4103639284 19.682018239 85 50 34 0.0249117065139 0.0260810246647 0.0133318654613
13 7 output/rmfs//7.rmf3 1784 9621  |  624.761169255 16.6077690659 10.1634  |  34.4155990207 30.2253329715 153.497371654 14 12 50 0.449685550191 0.473557233482 0.469291863258  |  46.6884133341 21.2042787907 20.1891615258 85 50 34 0.0208564050013 0.0190737609589 0.0133318654613
13 7 output/rmfs//7.rmf3 1785 9622  |  621.180606402 19.5984908086 4.03582  |  34.2878750804 30.3830302499 152.83678792 14 12 50 0.424131582266 0.473557233482 0.469291863258  |  46.0838291124 21.3428545544 20.9201208086 85 50 34 0.0208564050013 0.0269631996885 0.0133318654613
13 7 output/rmfs//7.rmf3 1786 9623  |  621.833425493 19.1200467902 7.14375  |  33.79791524 29.5911503723 152.27351633 13 12 51 0.476356333207 0.484942863819 0.478042494916  |  45.2207143195 21.5831466168 22.3296516731 85 50 34 0.0208564050013 0.0269631996885 0.0130912273775
13 7 output/rmfs//7.rmf3 1788 9627  |  616.20042973 25.4053294003 4.66867  |  33.442789742 29.3086025616 150.804028438 13 12 51 0.471955826026 0.489624876797 0.485470159529  |  45.7210094625 20.7032110408 19.9467701956 85 50 34 0.0167583542933 0.0260413587835 0.0223296682175
13 7 output/rmfs//7.rmf3 1789 9628  |  622.090341654 27.6905055668 4.34596  |  33.6537764229 29.0915013247 151.145749437 13 12 51 0.447490965733 0.489624876797 0.485470159529  |  47.2781392698 20.8689875748 19.6793519219 85 50 34 0.0167583542933 0.0387904107612 0.0223296682175
13 7 output/rmfs//7.rmf3 1790 9629  |  615.262133826 27.3812199484 1.09674  |  33.5900074041 28.7946181801 151.417322259 14 12 50 0.453410370254 0.489624876797 0.485470159529  |  44.8288851083 20.9067204433 20.2857531425 85 50 34 0.0102441556404 0.0454251562678 0.0517157337987
13 7 output/rmfs//7.rmf3 1791 9630  |  616.136917661 15.57572827 2.48689  |  33.3022205807 30.8426483407 152.395359915 14 12 50 0.431591575387 0.44786541779 0.483744070002  |  46.4395134198 20.5106470161 22.1031774731 85 50 34 0.0173919926721 0.0190787815429 0.0650777521413
13 7 output/rmfs//7.rmf3 1792 9631  |  616.770819048 28.0560431085 0.700095  |  33.3573711967 30.1930423803 151.757094287 14 15 50 0.460308157655 0.452944803693 0.483744070002  |  45.9767568859 20.2465115522 20.1459969222 85 50 34 0.0166135381137 0.0128071864983 0.0101575662092
13 7 output/rmfs//7.rmf3 1793 9632  |  614.613853181 24.7620421683 2.4639  |  33.4415196147 29.5914770391 152.063319474 14 14 51 0.463383622137 0.471070955764 0.487148092455  |  45.1449922581 20.9528566638 19.5003512548 85 50 34 0.0184281111006 0.0348756733279 0.0121534148534
13 7 output/rmfs//7.rmf3 1794 9635  |  628.234465867 31.3559020709 1.58451  |  34.5305183612 28.2858044983 152.187932665 13 14 52 0.457571072494 0.488839749202 0.487148092455  |  46.2043548672 20.9591282883 21.6428360566 85 50 34 0.038890905513 0.0395670924813 0.0264206398537
13 7 output/rmfs//7.rmf3 1795 9636  |  624.756736046 25.9618845968 4.00128  |  33.7180777739 28.0852529567 152.53077169 13 14 51 0.467924369322 0.488839749202 0.488119170979  |  46.5700436422 21.7406443073 21.2739683457 85 50 34 0.0475549456392 0.0154198875914 0.0264206398537
13 7 output/rmfs//7.rmf3 1796 9637  |  624.931297745 24.9710087189 2.32605  |  33.9990624114 28.2826866517 153.152734277 13 13 51 0.467924369322 0.488839749202 0.486031868422  |  48.1304152827 21.1070310921 20.6693041407 85 50 34 0.0475549456392 0.0154198875914 0.0264206398537
13 7 output/rmfs//7.rmf3 1797 9638  |  613.880352372 27.4642960231 1.33056  |  34.1645804051 28.3311451029 152.272356103 13 14 51 0.463436333329 0.488839749202 0.486031868422  |  44.5089433937 20.5466032377 19.998949026 85 50 34 0.0145280867431 0.0250902503547 0.0118381521568
13 7 output/rmfs//7.rmf3 1798 9639  |  618.036815623 22.0923317398 5.99166  |  34.4067149478 28.1474668045 152.410148964 13 14 52 0.440024382973 0.489874716692 0.486132508693  |  46.1172355289 21.0054285156 20.194004971 85 50 34 0.0145280867431 0.0250902503547 0.0118381521568
13 7 output/rmfs//7.rmf3 1799 9640  |  622.145456361 24.8718482919 6.41881  |  34.1683446216 29.2020009687 153.25537412 13 14 51 0.481120705263 0.48161355483 0.486132508693  |  45.3087240623 20.676516712 20.0848893125 85 50 34 0.0145280867431 0.0250902503547 0.0118381521568
13 7 output/rmfs//7.rmf3 1800 9643  |  625.652838987 24.4021706277 6.17548  |  33.9570671574 28.5846879682 152.147171254 14 13 52 0.48408500152 0.48828265778 0.486132508693  |  45.9817977069 21.4698593961 21.6575505421 85 50 34 0.023888632869 0.0332489553987 0.0399804836958
13 7 output/rmfs//7.rmf3 1801 9644  |  624.330280332 22.934999896 4.91039  |  34.7431973658 28.9283423791 152.296500739 13 14 51 0.444676397276 0.483497552328 0.473304648664  |  46.8826069271 21.001309761 21.1301562013 85 50 34 0.0160158545132 0.0355404658588 0.0241627738727
13 7 output/rmfs//7.rmf3 1802 9647  |  616.603899508 22.0516660695 2.19238  |  33.419557331 28.4470414156 153.074135822 13 13 51 0.486617700279 0.477831253198 0.459087348722  |  45.8705948471 21.0675263173 20.7119638548 85 50 34 0.0198671266132 0.048788159121 0.0261073548901
13 7 output/rmfs//7.rmf3 1803 9648  |  610.703371764 19.15641485 2.78446  |  34.0699257603 30.5457402969 151.9204354 13 14 51 0.451610794232 0.429626687576 0.489897290778  |  44.5292640273 20.4315169699 20.5486626041 85 50 34 0.0163158409418 0.0130507756559 0.0108810149591
13 7 output/rmfs//7.rmf3 1804 9649  |  611.275394753 26.2012356026 3.33312  |  33.7114165005 28.2398856107 151.449553369 13 14 51 0.472208881582 0.467089460379 0.487157553733  |  45.1134052568 20.3085750605 19.767163737 85 50 34 0.0129252094368 0.0130507756559 0.0108810149591
13 7 output/rmfs//7.rmf3 1805 9650  |  616.657279574 24.3406925078 7.51935  |  34.0348338593 27.9204905003 152.135549091 13 14 51 0.435301615115 0.47562220543 0.487157553733  |  45.0118513906 20.7647199114 19.7665792417 85 50 34 0.0129252094368 0.0354784422476 0.0112274882064
13 7 output/rmfs//7.rmf3 1806 9651  |  613.97741262 27.030178021 0.881605  |  33.8991327798 27.6841128928 152.067026157 13 12 51 0.466639160708 0.485000447961 0.487157553733  |  45.8498587568 20.9676513905 19.6610308816 85 50 34 0.0140305696497 0.0395133391561 0.0112274882064
13 7 output/rmfs//7.rmf3 1807 9652  |  615.086700977 22.2030819055 3.52025  |  33.7295425953 28.0974723834 152.030333646 13 16 51 0.480533367584 0.485000447961 0.489766580201  |  46.4930866012 21.7541846286 19.4460277909 85 50 34 0.0140305696497 0.0395133391561 0.0170773105483
13 7 output/rmfs//7.rmf3 1808 9653  |  615.748142522 24.4298452975 2.22015  |  33.6608538141 28.345345753 151.737548176 13 16 52 0.477964498464 0.482631488111 0.489414532968  |  45.7957768332 21.8456901482 19.6594896973 85 50 34 0.0234672196567 0.0395133391561 0.0217806886992
13 7 output/rmfs//7.rmf3 1809 9654  |  617.017419034 20.3409047597 2.12256  |  34.2834579068 29.095183063 154.753648179 13 13 52 0.435339241458 0.482631488111 0.45321785792  |  45.8762591003 21.178320961 18.9030316568 85 50 34 0.0234672196567 0.0248362101232 0.0217806886992
13 7 output/rmfs//7.rmf3 1814 9667  |  623.182684352 17.2213542838 2.48184  |  34.3635346795 29.7964203286 154.263534949 13 13 50 0.467446585109 0.486109544634 0.483717521064  |  45.3093106455 20.7527008844 23.7684378457 85 50 34 0.0206202361936 0.0190797658696 0.0508064643815
13 7 output/rmfs//7.rmf3 1816 9671  |  622.843789656 19.7101958966 4.40258  |  34.063922691 29.4402214437 155.552253509 14 12 50 0.485466183322 0.485763661274 0.483717521064  |  45.8395158982 20.9288504936 20.7777133944 85 50 34 0.0141172815899 0.0320975615976 0.0100149696049
14 3 output/rmfs//3.rmf3 2996 9309  |  634.85022635 27.567769893 2.00774  |  34.9805203317 31.0428283929 152.078924513 13 12 56 0.487902790388 0.486304750211 0.48922866311  |  49.577818372 19.6021150405 22.5892733963 84 51 34 0.0237485079468 0.0161303325284 0.0117081668104
14 3 output/rmfs//3.rmf3 2997 9310  |  642.783755001 38.2806748925 6.8712  |  35.8526990605 31.3600762196 151.202805684 14 12 57 0.470341742212 0.486304750211 0.48922866311  |  49.2290196068 17.9864560862 20.0452836598 85 51 34 0.052019504122 0.0161303325284 0.0117081668104
14 3 output/rmfs//3.rmf3 3081 9494  |  623.75954784 17.1345886012 1.39607  |  35.3853991973 31.7743767995 155.57328631 13 13 55 0.481381556195 0.483233893162 0.489601263388  |  46.8764961303 17.4879423197 22.4146814595 85 51 34 0.0176306323307 0.0150112985684 0.0338475422995
14 3 output/rmfs//3.rmf3 3091 9514  |  632.723059146 18.9627600189 3.99102  |  35.718233394 31.5989871291 157.941057327 14 12 51 0.465529903663 0.489755534238 0.488321329853  |  48.7293999202 17.2348918454 21.0118073843 85 51 34 0.0204127432185 0.012918873161 0.0140715602619
14 3 output/rmfs//3.rmf3 3092 9519  |  639.125111236 23.6076704798 7.15432  |  34.0211358979 31.4125788451 157.6210243 14 12 53 0.48955997039 0.477485929442 0.489758657707  |  47.2803974479 18.2389726174 21.8869521882 85 51 34 0.0449203382811 0.0238358767009 0.0286596662169
14 3 output/rmfs//3.rmf3 3096 9525  |  630.254077306 17.5953348495 0.710865  |  34.6944595028 31.9941816144 160.425355913 13 12 50 0.484692415959 0.475270940638 0.485093927255  |  45.6973328142 18.5601612233 21.7679931606 85 51 34 0.046409002996 0.0108259912161 0.0106361172215
14 3 output/rmfs//3.rmf3 3101 9532  |  630.609282522 23.5645728039 0.756453  |  34.3981889124 30.4621235692 160.516037018 14 12 51 0.465036597721 0.489884264221 0.487905048662  |  45.0230316378 18.1421046146 21.8051980312 85 51 34 0.0137532468776 0.0153994343797 0.0235566790828
14 3 output/rmfs//3.rmf3 3103 9536  |  637.764644272 25.3047193181 0.346666  |  33.3980926034 31.1854906905 161.450636057 14 14 50 0.480062532736 0.473390206865 0.470194454908  |  47.6341782794 16.6949399482 22.1780701359 85 51 34 0.0392561043152 0.0143091854919 0.0388218824884
14 3 output/rmfs//3.rmf3 3107 9542  |  622.384743724 14.4397825474 2.50135  |  33.132490289 31.0643740212 158.119206754 14 14 50 0.488837008879 0.483092057126 0.482210977989  |  48.7157515843 16.1507539946 22.5791720523 85 51 34 0.0461452571899 0.0125020770832 0.0116854347679
14 3 output/rmfs//3.rmf3 3108 9543  |  633.584329356 20.1726469497 4.08535  |  33.3225906573 31.31019646 156.957912193 14 14 54 0.483297337145 0.483092057126 0.482210977989  |  49.9406542374 17.3225961265 23.1245576061 85 51 34 0.0262645019206 0.0128079831852 0.0116854347679
14 3 output/rmfs//3.rmf3 3109 9544  |  627.633951197 15.7648147057 4.95163  |  34.3226228264 31.624822605 158.166953972 14 14 54 0.470668388927 0.483092057126 0.482210977989  |  46.9068240926 17.4866215182 22.2826183348 85 51 34 0.0148118102215 0.0225694692482 0.0116854347679
14 3 output/rmfs//3.rmf3 3110 9545  |  629.009579151 22.2243711388 1.04238  |  34.4731496137 32.1043232747 158.149133111 14 12 51 0.470668388927 0.483092057126 0.486463964262  |  47.518287856 17.3642543821 20.7182438205 85 51 34 0.0103876230663 0.0248806311568 0.0116854347679
14 3 output/rmfs//3.rmf3 3142 9605  |  630.497083158 19.2101626491 2.8428  |  34.3858909052 32.4238378066 155.78420513 14 12 55 0.489324056055 0.48407703147 0.488865594239  |  47.4350951846 17.0444738236 23.8715117743 85 51 34 0.0223445975422 0.0155608750799 0.0359424449293
14 3 output/rmfs//3.rmf3 3152 9625  |  624.401235313 17.1376064413 1.5997  |  34.5911899225 30.2234258453 155.010602705 13 12 56 0.484390108826 0.483128671398 0.48964586179  |  48.3556225019 17.6040338194 23.7786218788 85 51 34 0.0220382805011 0.0143588682773 0.0392309193066
14 3 output/rmfs//3.rmf3 3160 9641  |  632.551187969 17.0927761273 2.096  |  35.7198272941 31.9067928442 157.814300829 13 13 52 0.484102164683 0.489427041671 0.488780112106  |  49.6205656503 16.8945394526 22.1361151573 85 51 34 0.0224295355737 0.0117930381571 0.0119332490106
14 3 output/rmfs//3.rmf3 3161 9642  |  621.602242429 15.5294241489 0.8006  |  35.3609711523 31.5210772868 157.65432582 13 13 51 0.486690303611 0.489427041671 0.488780112106  |  47.2327731025 16.9139136545 21.0222182422 85 51 34 0.0224295355737 0.0232361157905 0.0119332490106
14 3 output/rmfs//3.rmf3 3162 9645  |  627.738208231 17.5673759835 1.62839  |  35.6721696963 32.2625098487 157.147656299 13 12 52 0.486690303611 0.482075864332 0.488780112106  |  48.6494418599 17.3084559215 20.5804784737 85 51 34 0.0247600946712 0.0121989082352 0.0119332490106
14 3 output/rmfs//3.rmf3 3165 9650  |  634.672496706 19.5340420763 0.893858  |  36.2386976849 33.256866812 155.265028659 13 12 53 0.478380416383 0.458986125072 0.486591667886  |  50.0268757703 17.6466121237 21.903829306 85 51 34 0.0266055640481 0.0159268628581 0.0119332490106
14 3 output/rmfs//3.rmf3 3168 9655  |  626.869716128 17.6844199043 0.999542  |  35.5988096211 33.2923593448 156.468739181 15 13 52 0.481639992086 0.433887957496 0.487834615155  |  46.4543513161 16.4871685947 22.9057682856 85 51 34 0.0223688999509 0.0127971359459 0.0226699594059
14 3 output/rmfs//3.rmf3 3169 9656  |  627.887557948 18.2825250315 3.75488  |  35.2500532129 32.4590771322 155.732747716 15 14 54 0.481639992086 0.45312406954 0.487834615155  |  47.5440033996 16.9509562811 22.1788141572 85 51 34 0.014301200332 0.0127971359459 0.0291505346084
14 3 output/rmfs//3.rmf3 3170 9659  |  635.348785597 30.7593490224 3.54792  |  35.0046402269 30.8797872441 156.171807756 14 13 53 0.489115466558 0.489549709431 0.487834615155  |  47.8596661618 16.5103047861 21.2713977167 85 51 34 0.0220241903804 0.015813229577 0.0143506132968
14 3 output/rmfs//3.rmf3 3171 9660  |  635.343606953 27.0791177831 0.820822  |  35.2914355986 30.7038405627 156.915908849 13 13 53 0.489115466558 0.484235458925 0.487834615155  |  49.7627985757 16.6428005319 21.6028403522 85 51 34 0.0252340604422 0.0129501364999 0.0148277858259
14 3 output/rmfs//3.rmf3 3172 9665  |  641.698710727 23.532218571 0.300066  |  36.4501180161 32.6873772487 157.870139586 14 13 53 0.463085789069 0.449221422183 0.48590202486  |  49.2338045206 17.6035995102 22.5303521959 85 51 34 0.0198345421233 0.0129501364999 0.0132263203953
14 3 output/rmfs//3.rmf3 3173 9666  |  648.672570517 25.3631420959 6.19557  |  36.1085723932 32.317535137 157.499407241 13 14 55 0.469089339715 0.460439752273 0.48590202486  |  52.2927052636 15.9087006749 21.5379252538 85 51 34 0.0372780327473 0.0129501364999 0.0132263203953
14 3 output/rmfs//3.rmf3 3174 9671  |  627.929464369 21.881328886 3.03319  |  35.5290526139 30.7573210674 155.72785952 13 13 51 0.486072403476 0.488101894266 0.488660032601  |  46.9639218568 18.4126900894 21.2474410692 85 51 34 0.012209587814 0.021264994571 0.0212653060909
14 3 output/rmfs//3.rmf3 3175 9672  |  647.289124107 40.8867518491 3.07891  |  35.1176293422 32.318717001 155.845936189 13 13 51 0.48866329079 0.449794018508 0.480455398927  |  48.1745341023 16.6335809635 20.6131483887 85 51 34 0.0181730117704 0.0146989293514 0.0271124489467
14 3 output/rmfs//3.rmf3 3179 9688  |  638.209348122 28.2678216663 0.828611  |  35.307164086 31.4773857962 158.944735031 14 14 50 0.475993295485 0.481968769208 0.486065481297  |  45.6997594353 18.0519802747 22.2890483888 85 51 34 0.0171168724722 0.0196659255623 0.0144504076982
14 3 output/rmfs//3.rmf3 3180 9691  |  628.899321871 23.7039742193 1.96377  |  34.3544003814 31.4249775623 156.634775266 14 14 52 0.488350354436 0.468625578046 0.487275416091  |  47.3981770674 16.954478672 21.8734268716 85 51 34 0.0123734218993 0.0155308182064 0.0369511623545
14 3 output/rmfs//3.rmf3 3182 9697  |  616.106806312 14.5837706474 1.90742  |  34.5026088169 31.2153826134 157.90376779 14 14 54 0.486812868339 0.488254269015 0.487275416091  |  46.0272050655 16.5511438855 20.9650282442 85 51 34 0.0255691333373 0.0100136360979 0.0137218745817
14 3 output/rmfs//3.rmf3 3183 9698  |  617.786473861 21.2383122068 2.84106  |  34.2073083533 31.3868637614 157.456093411 15 14 52 0.488677383948 0.488254269015 0.487275416091  |  45.1706502873 16.2159258202 20.0398588021 85 51 34 0.0195573485387 0.0100136360979 0.0105019969301
14 3 output/rmfs//3.rmf3 3184 9699  |  628.999955936 40.6322954178 2.2539  |  34.7493275181 31.2156496899 155.752390104 15 14 53 0.479480870323 0.488432707474 0.487275416091  |  43.7634456459 15.2835499599 19.2817583647 85 51 34 0.0195573485387 0.0100136360979 0.0380162682855
14 3 output/rmfs//3.rmf3 3186 9709  |  629.838451167 21.2280930259 3.2331  |  34.9221664337 31.127565864 155.58706938 14 13 54 0.464874050777 0.48262606005 0.489174253657  |  49.8580443518 16.3547503458 22.0579445261 85 51 34 0.013080797931 0.0113858045399 0.0328339650201
14 3 output/rmfs//3.rmf3 3187 9710  |  626.923169364 16.08492503 2.64602  |  34.6054101728 30.9157266857 156.732218112 15 13 53 0.467052930731 0.489566792084 0.489174253657  |  50.5635046197 16.0914249175 22.3972641053 85 51 34 0.013080797931 0.0113858045399 0.0328339650201
14 3 output/rmfs//3.rmf3 3189 9714  |  627.942184109 19.4735991596 3.085  |  35.1224790076 31.1721414919 156.959160346 14 12 54 0.471726191237 0.488393604744 0.489174253657  |  48.1326711308 16.9747729954 22.0199929716 85 51 34 0.0110190673558 0.0117900799701 0.0143042149309
14 3 output/rmfs//3.rmf3 3197 9736  |  625.911107491 26.2453319099 3.09685  |  34.7705505371 31.8624510736 155.372381488 14 12 54 0.486060900255 0.489270277807 0.48816630952  |  47.3382080079 16.5597352014 19.8764978843 85 51 34 0.0114679859496 0.0187803373655 0.012348482259
14 3 output/rmfs//3.rmf3 3200 9741  |  628.319725668 22.180013179 5.97231  |  35.2596466182 32.050554827 156.639377505 13 12 51 0.484350562238 0.486830710581 0.48816630952  |  46.9876631462 15.6631947698 20.6128721829 85 51 34 0.0198065987103 0.014255459658 0.0197425197925
14 3 output/rmfs//3.rmf3 3201 9742  |  624.870384128 20.1834513051 0.0443703  |  36.8965573065 32.070955634 157.020144804 13 12 50 0.450642260237 0.485540003007 0.48816630952  |  46.3083225723 16.1259696236 20.546790316 85 51 34 0.0251788396847 0.014255459658 0.0438984114262
14 3 output/rmfs//3.rmf3 3205 9752  |  636.301412957 26.5658373396 2.27694  |  34.6451330072 31.2328506181 158.043388299 14 12 50 0.489747386994 0.487485147018 0.488459491112  |  47.6818716272 17.4061820412 21.6634405595 85 51 34 0.0171873370855 0.0257149768894 0.0180614357175
14 3 output/rmfs//3.rmf3 3206 9757  |  630.261262931 22.6683811825 11.3576  |  35.6796719475 31.0205555631 155.939840809 14 13 51 0.469152671034 0.486016770617 0.488459491112  |  46.7355029932 16.2746173014 19.8382868484 85 51 34 0.015097427355 0.0126891909817 0.018563426763
